Instruction,Output
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: The success of the new resonant-phonon terahertz quantum-cascade laser is evident in its 119 K heat-sink temperature, establishing it as a groundbreaking device in terms of efficiency and performance in the field of laser technology.",resonant-phonon
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:With the help of modern cooling techniques, quantum-cascade lasers could operate at 150 K in pulsed mode and at 105 K in continuous-wave mode.","150 K, 105 K"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: Running at 2 THz, the laser recorded a maximum power output of 90 mW at 8 K, and a detectable 0.8 mW signal at 180 K.","90 mW, 0.8 mW"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The output power of the terahertz quantum cascade laser reached an unprecedented 0.6 W in continuous wave mode, making it one of the most powerful in its class.",0.6 W
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Through the integration of this fabrication technique with a better designed active region, the 3 THz QCL is capable of functioning at temperatures as high as 164 K in pulsed mode and 117 K in continuous wave mode.		",3 THz
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:In cw operation, this device lased up to Tmax=60K.",60 K
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A first-of-its-kind 9.2 THz quantum cascade laser was successfully fabricated through the use of a revolutionary scattering-assisted injection and resonant-phonon depopulation method.",resonant-phonon
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:By implementing a bound-to-continuum active region and silicon-based surface-plasmon waveguide design, we were able to achieve continuous-wave operation of terahertz (THz) quantum cascade lasers emitting at 4.6 THz.",4.6 THz
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:For four wafers based on GaAs/AlGaAs heterostructures for lasers with target frequencies of 2.92 and 4.62 THz, we observed a blue shift of the emission frequency from the center to the edge of the wafer.","2.92 THz, 4.62 THz"
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: Utilizing a bound-to-continuum active region and an aluminum-based surface-plasmon waveguide configuration, we were successful in achieving continuous-wave operation for terahertz quantum cascade lasers that emit at 3.9 THz.",bound-to-continuum
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At 80 K, the threshold current-density was measured as ~1200 A/cm2 with a peak-power output of ~28 mW.",28 mW
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The focus of our report is on terahertz quantum-cascade lasers that demonstrate a primary frequency output of 1.90 THz, and have been observed to produce secondary modes as low as 1.86 THz.		","1.90 THz, 1.86 THz"
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:By increasing the operating temperature to 150 K and reducing the duty cycle to 0.7, our proposed direct LO-phonon-based depopulation method can successfully produce quantum cascade lasers operating at 5 THz frequencies.",5 THz
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: The implementation of a high-resistivity surface-plasmon waveguide design in combination with a bound-to-continuum active region allowed us to achieve a continuous-wave operation of 10.5 THz for quantum cascade lasers emitting at 5.0 THz.",bound-to-continuum
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:While being operated in pulses, the device's highest heatsink temperature was 114.5 K.		",114.5 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:This terahertz QCL has a pulsed Tmax of 192 K, the highest reported so far, despite a lower radiative oscillator strength.",192 K
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: The persistent use of terahertz quantum cascade lasers is showcased in our exhibit, where they operate continuously at 3.2 THz using a bound-to-continuum active area and a semi-insulating surface-plasmon waveguide design.",bound-to-continuum
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Despite a significantly smaller radiative oscillator strength, this terahertz QCL achieved a record-breaking pulsed Tmax of 221 K.",221 K
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: During the experiment, the heat-sink temperature of the resonant-phonon terahertz quantum-cascade laser reached 112.5 K. ",resonant-phonon
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Our presentation showcases the uninterrupted functioning of terahertz quantum cascade lasers emitting at 3.2 THz, employing a bound-to-continuum active region and semi-insulating surface-plasmon waveguide design.		",bound-to-continuum
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Reported are GaAs/AlGaAs quantum cascade lasers utilizing four quantum well structures, operating at a frequency of 4.7 THz.		",4.7 THz
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A ground-breaking 6.1 THz quantum cascade laser (QCL) was realized by implementing a pioneering scattering-assisted injection and resonant-phonon depopulation method.",resonant-phonon 
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:In the GaAs/Al 0.15Ga0.85As material system, the resonant-phonon laser's active region contains 178 repeated periods of the 4-well module grown using molecular beam epitaxy (MBE).",resonant-phonon
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A 3.6 THz quantum cascade laser (QCL) utilizing a scattering-assisted injection and resonant-phonon depopulation strategy has been successfully implemented.",resonant-phonon
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: The inclusion of a bound-to-continuum active region and an aluminum surface-plasmon waveguide design enabled us to achieve continuous-wave operation of 3.9 THz-emitting terahertz quantum cascade lasers.",bound-to-continuum
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:With a frequency of 180 Hz and operating at 30 K, the threshold current density shows 1530 A/cm2, and the peak power reaches 11.16 mW.",80 Hz
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Our experiments confirm that the ideal 4.8-mm-long device operating at 6.45 THz has a low threshold current density of 290 A/cm2 at 8 K.",6.45 THz
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:With a pulsed Tmax of 199 K, this terahertz QCL has set a new record, even with a smaller radiative oscillator strength.",199 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A 8 THz QCL demonstrated enhanced performance with the implementation of this fabrication process and an optimized active region design, operating at 194 K in pulsed mode and 139 K in cw mode.","194 K, 139 K"
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:For seven wafers based on GaxIn1-xAs/InAs heterostructures for lasers with target frequencies of 8.32 and 8.79 THz, we observed a blue shift of the emission frequency from the center to the edge of the wafer.",8.32 and 8.79 THz
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:By adding an additional 1.2 milliliters of a chemical compound, the continuous wave output power reaches a new record at 6.8 W at room temperature.",6.8 W
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Running at 2 K in pulsed mode, the threshold current density is 1200 A/cm2, and the peak power is approximately 1.2 mW.",1.2 mW
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:0.7 mW of peak cw power was measured by the thermopile detector (ScienTech, model AC4000) placed next to the cryostat window, from a single facet collected with a Winston cone with a circular opening of 3.85 mm diameter.",0.7 Mw
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At 225K, the threshold current density of 4000 A/cm2 was required for a 800-mm-wide and 8-mm-long laser to generate an optical power of 300mW in continuous wave operation.",300 mW
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The potential of laser technology is limitless with the emergence of a new resonant-phonon terahertz quantum-cascade laser that operates at 145 K heat-sink temperature.",145 K
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The ability to operate at a maximum temperature of 150 K and produce an impressive peak output of 200mW is attributed to the wide range of current density in the double metal waveguide device and the single surface plasmon waveguide device.	",200 Mw
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:In pulsed operation, the device lased up to a maximum heatsink temperature (Tmax) of 175 K.",175 K
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:By using six layers of In0.3Ga0.7As/InAs, we were able to achieve a high oscillator strength of 0.721 for our MH structure.",In0.3Ga0.7As/InAs
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The QCL is designed to operate in pulsed-mode, with a heat-sink temperature limit of 300 K, making it suitable for demanding applications in extreme environments.",300 K
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: Through the use of a surface-plasmon waveguide design with high resistance and a bound-to-continuum active region, we were able to enable continuous-wave operation for quantum cascade lasers emitting at 5.0 THz, with a successful 10.5 THz achievement.",bound-to-continuum
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At B = 16 T, where the cyclotron transition is almost resonant with the LO-phonon, we recorded a maximum operating temperature of 198K for the devices with Cu waveguide.",LO-phonon
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Up to a heat-sink temperature of 110 K, the laser remained operational when in pulsed mode, and up to 95 K when in continuous wave (cw) mode.		","110 K, 95 K"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At 4K, a 100-mm-wide and 2-mm-long laser had a threshold current density of 250 A/cm2 and an optical power of 60mW in cw operation.",60 Mw
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:With advanced fabrication techniques, the output power of the terahertz quantum cascade laser was boosted to 0.8 W in continuous wave mode, demonstrating its potential for high-power applications.",0.8 W
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:An output of approximately 10 mW was observed when the threshold current-density was measured at 745 A/cm2 with a temperature of 46 K. 		",10 mW
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:With a threshold current density of 90 A/cm2 at 2K, an optical power of 9mW was generated from a 35-mm-wide and 0.3-mm-long laser in continuous wave mode.",9 Mw
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Researchers have successfully demonstrated GaAs/AlGaAs quantum cascade lasers based on three quantum wells that can operate at high frequencies up to 6.8 THz.",GaAs/AlGaAs
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The newly developed terahertz quantum cascade laser boasted a remarkable output power of 2.0 W in continuous wave mode, surpassing all previous records.",2.0 W
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:We utilized a GaN/Al0.09Ga0.91As heterostructure as the foundation for our laser, inspired by Ref [6] but with a 7% expansion in all layer thicknesses.",GaN/Al0.09Ga0.91As
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Under a frequency of 200 Hz and at 15 K, the threshold current density drops to 600 A/cm2, while the peak power increases to 7.1 mW.",7.1 Mw
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:When a Winston cone with a circular opening of 1.90 mm was utilized, a single facet emitted a maximum continuous wave power of 0.5 mW. The measurement was conducted by positioning a thermopile detector (ScienTech, model AC2500) adjacent to the cryostat's window.		",0.5 mW
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The versatility of terahertz quantum cascade lasers has been demonstrated with operation possible at pulsed temperatures of 215 K and cw temperatures of 155 K.","215 K, 155 K"
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The heterostructure in our laser is made of InAs/Al0.02Ga0.98As, resembling Ref [3], but with a 2% reduction in all layer thicknesses.",InAs/Al0.02Ga0.98As
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The QCL has been tested at a maximum heat-sink temperature of 200 K, proving its robustness and ability to operate efficiently in high-temperature environments.",200 K
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:When operated at 30 K, the threshold current density is measured at 500 A/cm2, while the peak power shows an increase to 9.5 mW.",9.5 Mw
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:To effectively suppress leakage current, the chosen quantum cascade module of the device is based on a six-well GaAs/Al0.22Ga0.78As structure.",GaAs/Al0.22Ga0.78As
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:When operated at 29 K, the threshold current density is measured at 900 A/cm2, while the peak power shows an increase to 7.9 mW.",7.9 Mw
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:We report terahertz quantum-cascade lasers operating predominantly at 2.32 THz with side modes as low as 2.27 THz.","2.32 THz, 2.27 THz"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:We were able to maintain a stable heat-sink temperature of 190 K for our terahertz quantum-cascade lasers using a new cooling method.",190 K
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The optical power of 25mW was achieved with a threshold current density of 250 A/cm2 at 12.5K from a 50-mm-wide and 0.75-mm-long laser in cw operation.",25 mW
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Our data shows that the top-performing 8.9-mm-long device operating at 9.24 THz has a low threshold current density of 280 A/cm2 at 10 K.",9.4 THz
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Our report covers the exhibition of InGaAs-based terahertz quantum cascade lasers achieving a highest operational temperature of 142K.		",142 K
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:With a lasing frequency of 9.63 THz, the product can reach temperatures as high as 242K.",9.63 THz
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:When operating at 30 K continuously, the threshold current density shows a slight increase to 960 A/cm2, and the peak power reaches 3.2 mW.",3.2 Mw
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At 32 K, the threshold current-density was measured as ~618 A/cm2 with a peak-power output of ~8 mW.",8 mW
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:In continuous wave mode, Terahertz quantum cascade lasers achieved a noteworthy output power of 0.23 W, setting a new record.		",0.23 W
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At 90 K, the threshold current-density was measured as ~1500 A/cm2 with a peak-power output of ~32 mW.",32 Mw
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Through extensive experimentation, a 2.5 THz quantum cascade laser (QCL) was produced using a scattering-assisted injection and resonant-phonon depopulation configuration.",resonant-phonon
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The device reached its maximum heatsink temperature (Tmax) of 245 K during pulsed operation.",245 K
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:When operated at 27 K, the threshold current density is measured at 850 A/cm2, while the peak power shows an increase to 8.1 mW.",8.1 Mw
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The resonant-phonon terahertz quantum-cascade laser reached a heat-sink temperature of 180 K during our experiment.",180 K
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The selected quantum cascade module employs a five-well GaAs/Al0.25Ga0.75As structure in order to successfully suppress leakage current in the device.		",GaAs/Al0.25Ga0.75As
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:In this experiment, we observed the resonant LO phonon scheme27,41, where electrons undergo resonant tunneling through the collector barrier and are scattered by fast longitudinal-optical (LO) phonons into level 3 before being reinjected into the next module.",LO-phonon
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Researchers have developed a cutting-edge laser technology utilizing resonant-phonon terahertz quantum-cascade lasers that operate at a heat-sink temperature as low as 140 K.",resonant-phonon
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:In cw operation, this device lased up to Tmax=75K.",75 K
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A 2.2 THz quantum cascade laser (QCL) utilizing a scattering-assisted injection and resonant-phonon depopulation strategy has been successfully implemented.",resonant-phonon
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:In cw operation, a 90-mm-wide and 2.5-mm-long laser at 6K produced an optical power of 35mW with a threshold current density of 180 A/cm2.",35 mW
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Our designed multilayer heterostructure (MH) incorporates a three quantum well GaAs/Al0.15Ga0.85As active module and optimized oscillator strength of 0.425, achieved through diagonal transitions.		",GaAs/Al0.15Ga0.85As
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:With a pulse-mode capability and heat-sink temperature of 144 K, the QCL stands out from previously reported THz QCLs that are limited to operation around 2 THz.		",144 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The maximum heatsink temperature (Tmax) of 225 K was achieved during the pulsed test, resulting in stable lasing behavior.",225 K
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The successful demonstration of a 2.17 THz QCL is achieved using a scattering-assisted injection and resonant-phonon depopulation design approach.		",2.17 THz
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The study compared the performance of the lasers at different temperatures and found optimal results at 254 K in pulsed mode and at 196 K in continuous-wave mode.","254 K, 196 K"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:During the experiment, the device was operated at different temperatures (Tmax) ranging from 210 K to 240 K in pulsed mode.","210 K, 240K"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The study showed promising results as the lasers were operated at 171 K in pulsed mode and at 118 K in continuous-wave mode.","171 K, 118 K"
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Within the range of 3 to 4.7 THz, the under scrutiny THz QCLs emit.		",3 THz to 4.7 THz
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The results of our preliminary experiments with a heat-sink temperature of 90 K on our quantum-cascade lasers were highly encouraging.",90 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The study compared the performance of the lasers at different temperatures and found optimal results at 333 K in pulsed mode and at 88 K in continuous-wave mode.","333 K, 88 K"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The pulsed Tmax of 185 K for this terahertz QCL is the highest reported yet, despite a significantly lower radiative oscillator strength in its design.",185 K
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At B = 11 T, where the cyclotron transition is almost resonant with the LO-phonon, we recorded a maximum operating temperature of 192K for the devices with Cu waveguide.",LO-phonon
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Our findings demonstrate that the most effective 7.3-mm-long device operating at 4.46 THz has a low threshold current density of 300 A/cm2 at 20 K.",4.46 THz
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The structure, labeled OWI185-M1 (growth EA1304), was grown in GaN/Al0.3Ga0.7N.",GaN/Al0.3Ga0.7N
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:With a frequency of 5.0 THz and operating at 6 K, the threshold current density measures at 1350 A/cm2, and the peak power is estimated to be around 1.9 mW.",5.0 THz
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The THz QCLs under investigation emit in the range of 5 to 6.2 THz.",5 to 6.2 THz
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A 1.5 THz quantum cascade laser (QCL) utilizing a scattering-assisted injection and resonant-phonon depopulation strategy has been successfully implemented.",1.5 THz
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A record-breaking output power of 25 milliwatts was achieved with a GaAs/AlGaAs quantum cascade laser having eight quantum well structures at 3.1 THz.",GaAs/AlGaAs
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:When the environment is at normal temperature, the continuous wave's output power is greater than the previous best, clocking in at 5.6 W.		",5.6 W
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At 93 K, the threshold current-density was measured as ~946 A/cm2 with a peak-power output of ~16 mW.",16 mW
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The laser output was stable up to a maximum heatsink temperature (Tmax) of 205 K.",205 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:By optimizing the materials used, we were able to achieve a maximum heatsink temperature of 168 K for our InGaAs-based THz QCLs.",168 K
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The QCL is able to operate in pulsed-mode at temperatures up to 144 K, surpassing the limits of previous THz QCLs which typically function around 2 THz frequencies. 	",2 THz
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The heatsink temperature (Tmax) limit for the device's lasing was 175 K.",175 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Laser action is initiated in pulsed mode at temperatures up to 75 K, and at 55% duty cycle up to 25 K.",75 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The QCL has been tested at a maximum heat-sink temperature of 160 K, proving its robustness and ability to operate efficiently in high-temperature environments.",160 K
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Our laser structure is based on GaAs/In0.09Ga0.91As heterostructure, following Ref [6] but with a 10% expansion in all layer thicknesses.", GaAs/In0.09Ga0.91As 
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The double metal waveguide device exhibits a vast range of current density, enabling it to reach a maximum operating temperature of 150 K, while the single surface plasmon waveguide device can produce a strong peak output of 200mW.		",150 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:This advanced technology can maintain a lasing frequency of 5.29 THz at a temperature of 130K.",130 K
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:To effectively suppress leakage current, the chosen quantum cascade module of the device is based on a ten-well GaAs/Al0.5Ga0.5As structure.",GaAs/Al0.5Ga0.5As
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At the lasing frequency of 1.5 THz, 30 mW of peak optical power was measured at 7 K, and approximately 8 mW could still be detected at 170 K.","30 mW, 8mW"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:With a heat-sink temperature limit of 400 K, the QCL is ideal for use in extreme conditions such as high altitude operations.",400 K
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At 70 K, the threshold current-density was measured as ~2000 A/cm2 with a peak-power output of ~22 mW.",22 MW
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:With a combination of three AlAs/In0.15Ga0.85As quantum wells, our MH design showed an impressive oscillator strength of 0.712.",AlAs/In0.15Ga0.85As
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Scientists have successfully demonstrated the capabilities of resonant-phonon terahertz quantum-cascade lasers at an operating temperature of 155 K, paving the way for future advancements in laser technology.",155 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The highest reported pulsed Tmax of 186K for this terahertz QCL surpasses all previous records, even though the radiative oscillator strength in this particular design is notably reduced.		",186 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The maximum heatsink temperature (Tmax) recorded during pulsed operation was 230 K.",230 K
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Made via molecular beam epitaxy (MBE) in the GaAs/Al 0.15Ga0.85As material system, the active region of this resonant-phonon laser comprises 178 repetitions of the 4-well module.",resonant-phonon
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The study compared the performance of the lasers at different temperatures and found optimal results at 189 K in pulsed mode and at 287 K in continuous-wave mode.","189 K,287 K"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Integrating cutting-edge cooling techniques enabled quantum-cascade lasers to function at 125 K in pulsed mode and at 115 K in continuous-wave mode.","125 K, 115 K"
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The structure, labeled OWI240-M5 (growth EA1302), was grown in InGaP/In0.5Al0.5P.",InGaP/In0.5Al0.5P
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Our study reveals that the use of bound-to-continuum active region and copper-based surface-plasmon waveguide design enables reliable continuous-wave operation of terahertz (THz) quantum cascade lasers with emission at 6.3 THz.",6.3 THz
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The latest resonant-phonon terahertz quantum-cascade laser can operate at a heat-sink temperature of 175 K, surpassing previous efficiency and performance standards.",175 K
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The latest advancements in our terahertz quantum-cascade laser technology have led to a laser that operates at 150 K in pulsed mode and 110 K in continuous wave mode at approximately 3.29 THz.",3.29 THz
